,code,market_cap,SMB,BM,HML,price,nextPrice,up,pubDate,date
245,600418.XSHG,99.07,S,0.327515708287,H,6.6850000000000005,5.3575,NO,2007-04-30,2007-05-01
246,600690.XSHG,179.23,M,0.328453021276,H,2.7745,2.8055000000000003,NO,2007-04-27,2007-05-01
247,600098.XSHG,299.2,B,0.336153894307,H,9.2365,7.486,NO,2007-04-25,2007-05-01
248,600642.XSHG,523.89,B,0.338537803281,H,7.678,6.2285,NO,2007-04-27,2007-05-01
249,600170.XSHG,114.37,M,0.34048005897399997,H,1.7545,1.994,NO,2007-04-26,2007-05-01
250,600033.XSHG,127.1,M,0.34337201859899996,H,3.6045,4.338,NO,2007-04-28,2007-05-01
251,600020.XSHG,140.02,M,0.344876344283,H,4.4555,3.9805,NO,2007-04-24,2007-05-01
252,000629.XSHE,261.21,B,0.34697053897200003,H,4.633,6.6205,YES,2007-04-27,2007-05-01
253,000100.XSHE,133.2,M,0.351099702939,H,2.19,2.5255,NO,2007-04-30,2007-05-01
254,600102.XSHG,164.72,M,0.35217151366,H,14.834499999999998,16.089,NO,2007-04-24,2007-05-01
255,600886.XSHG,132.03,M,0.358947951512,H,3.9029999999999996,3.4615,NO,2007-04-26,2007-05-01
256,600377.XSHG,441.31,B,0.359718711469,H,4.5485,4.729,NO,2007-04-27,2007-05-01
257,600741.XSHG,120.26,M,0.3640179014,H,4.782,5.558,NO,2007-04-27,2007-05-01
258,000900.XSHE,76.48,S,0.36776316377400003,H,3.6109999999999998,5.335,YES,2007-04-28,2007-05-01
259,600269.XSHG,164.06,M,0.36788030682800005,H,4.8975,5.676,NO,2007-04-26,2007-05-01
